nom,point_depart,point_arrivee,distance_km,coords
Route Sefrou طريق صفرو,"(-4.9809439, 34.0117386)","(-4.9803901, 34.0110394)",0.09,"[(-4.9809439, 34.0117386), (-4.9803901, 34.0110394)]"
Route Sefrou طريق صفرو,"(-4.9797165, 34.0101493)","(-4.979322, 34.0095503)",0.08,"[(-4.9797165, 34.0101493), (-4.9793854, 34.00972), (-4.9793467, 34.009657), (-4.97933, 34.0096058), (-4.979322, 34.0095503)]"
Route Sefrou طريق صفرو,"(-4.9803901, 34.0110394)","(-4.9799812, 34.0104991)",0.07,"[(-4.9803901, 34.0110394), (-4.9799812, 34.0104991)]"
Avenue Hassan II شارع الحسن الثاني,"(-5.0026379, 34.0372259)","(-5.0018196, 34.03827)",0.14,"[(-5.0026379, 34.0372259), (-5.0025397, 34.0373448), (-5.001888, 34.0381789), (-5.0018196, 34.03827)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0030346, 34.0373841)","(-5.0032911, 34.0374658)",0.03,"[(-5.0030346, 34.0373841), (-5.0031733, 34.0374294), (-5.0032911, 34.0374658)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0032911, 34.0374658)","(-5.0037064, 34.037601)",0.04,"[(-5.0032911, 34.0374658), (-5.0036243, 34.0375708), (-5.0037064, 34.037601)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0037064, 34.037601)","(-5.0050667, 34.0383022)",0.15,"[(-5.0037064, 34.037601), (-5.0037899, 34.0376317), (-5.0038691, 34.0376641), (-5.0038984, 34.037676), (-5.0044805, 34.0379861), (-5.0050667, 34.0383022)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0024385, 34.0370184)","(-5.0026165, 34.0371328)",0.02,"[(-5.0024385, 34.0370184), (-5.0025095, 34.0370633), (-5.002547, 34.037087), (-5.0025784, 34.0371077), (-5.0026165, 34.0371328)]"
Boulevard Allal El Fassi,"(-4.9909753, 34.0504071)","(-4.9904832, 34.0506176)",0.05,"[(-4.9909753, 34.0504071), (-4.9906686, 34.050535), (-4.9904832, 34.0506176)]"
Boulevard Allal El Fassi,"(-4.9886499, 34.0513138)","(-4.97877, 34.054215)",1.02,"[(-4.9886499, 34.0513138), (-4.9882543, 34.0513716), (-4.9880987, 34.0513961), (-4.9878855, 34.0514127), (-4.9877527, 34.0514149), (-4.9874818, 34.0514105), (-4.986134, 34.0513994), (-4.9857625, 34.0513927), (-4.9851014, 34.0513861), (-4.9848318, 34.0513794), (-4.9844536, 34.0513816), (-4.9843249, 34.0513861), (-4.9841975, 34.0514016), (-4.9839373, 34.0514516), (-4.9837294, 34.0515049), (-4.9835967, 34.0515516), (-4.9834143, 34.0516316), (-4.9832533, 34.0517227), (-4.9830602, 34.0518516), (-4.9828416, 34.0520094), (-4.982623, 34.0521683), (-4.9820799, 34.0525761), (-4.9819042, 34.0526994), (-4.9817473, 34.0527794), (-4.9816319, 34.0528272), (-4.9814844, 34.0528839), (-4.9813865, 34.052915), (-4.9809252, 34.0530161), (-4.9807374, 34.0530439), (-4.9805336, 34.0530828), (-4.9802265, 34.053175), (-4.9797893, 34.0533517), (-4.9795371, 34.0534905), (-4.9793172, 34.0536428), (-4.9790905, 34.0538228), (-4.9789028, 34.0540406), (-4.97877, 34.054215)]"
Boulevard Allal El Fassi,"(-4.990608, 34.0507032)","(-4.9906939, 34.0506692)",0.01,"[(-4.990608, 34.0507032), (-4.9906939, 34.0506692)]"
Boulevard Allal El Fassi,"(-4.9904832, 34.0506176)","(-4.9886499, 34.0513138)",0.19,"[(-4.9904832, 34.0506176), (-4.9902013, 34.050743), (-4.9896405, 34.0509949), (-4.9893647, 34.0511083), (-4.9891877, 34.051176), (-4.9889919, 34.0512349), (-4.988725, 34.0513005), (-4.9886499, 34.0513138)]"
Boulevard Allal El Fassi,"(-4.9753588, 34.0541723)","(-4.9754326, 34.0542892)",0.01,"[(-4.9753588, 34.0541723), (-4.9754326, 34.0542892)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9998178, 34.0414428)","(-5.0008777, 34.0401136)",0.18,"[(-4.9998178, 34.0414428), (-4.9999363, 34.041295), (-5.0000837, 34.04111), (-5.0007767, 34.0402402), (-5.0008777, 34.0401136)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9991921, 34.0422276)","(-4.9998178, 34.0414428)",0.1,"[(-4.9991921, 34.0422276), (-4.9993282, 34.0420598), (-4.9995146, 34.0418242), (-4.9996803, 34.0416163), (-4.9997429, 34.0415377), (-4.9998178, 34.0414428)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9991185, 34.0423212)","(-4.9991921, 34.0422276)",0.01,"[(-4.9991185, 34.0423212), (-4.9991921, 34.0422276)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0027678, 34.0369043)","(-5.0010535, 34.0360366)",0.19,"[(-5.0027678, 34.0369043), (-5.0027016, 34.0368787), (-5.0026013, 34.0368368), (-5.0025536, 34.0368147), (-5.0024251, 34.0367549), (-5.0022691, 34.0366789), (-5.0020135, 34.0365519), (-5.0018972, 34.0364895), (-5.0010535, 34.0360366)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0021548, 34.036802)","(-5.0024385, 34.0370184)",0.04,"[(-5.0021548, 34.036802), (-5.0022538, 34.0368842), (-5.0023067, 34.0369282), (-5.0024385, 34.0370184)]"
Boulevard Allal El Fassi,"(-4.9902556, 34.0508443)","(-4.990608, 34.0507032)",0.04,"[(-4.9902556, 34.0508443), (-4.9905128, 34.0507407), (-4.990608, 34.0507032)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-4.997498, 34.0341801)","(-4.9983673, 34.0346537)",0.1,"[(-4.997498, 34.0341801), (-4.9983673, 34.0346537)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9974461, 34.0342023)","(-4.9976239, 34.0357557)",0.17,"[(-4.9974461, 34.0342023), (-4.9974744, 34.0344889), (-4.9976239, 34.0357557)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9980155, 34.0376381)","(-4.9978496, 34.0372896)",0.04,"[(-4.9980155, 34.0376381), (-4.9979903, 34.0375264), (-4.9979319, 34.0374162), (-4.9978496, 34.0372896)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9980435, 34.0377423)","(-4.9985577, 34.0390118)",0.15,"[(-4.9980435, 34.0377423), (-4.9981158, 34.0378842), (-4.9981368, 34.0379379), (-4.9983059, 34.0384002), (-4.9985577, 34.0390118)]"
Boulevard Allal El Fassi,"(-4.9754776, 34.0540994)","(-4.9729768, 34.0535439)",0.27,"[(-4.9754776, 34.0540994), (-4.9754079, 34.0539928), (-4.9752416, 34.0537872), (-4.9751504, 34.0536861), (-4.975023, 34.053595), (-4.9749237, 34.0535317), (-4.9747843, 34.0534628), (-4.9746046, 34.0533977), (-4.974445, 34.0533528), (-4.9742867, 34.0533283), (-4.9741271, 34.053315), (-4.9739823, 34.0533194), (-4.9738455, 34.0533361), (-4.9736873, 34.0533694), (-4.9734928, 34.0534261), (-4.9732847, 34.0535156), (-4.9731924, 34.0535418), (-4.9731005, 34.0535495), (-4.9729768, 34.0535439)]"
Boulevard Allal El Fassi,"(-4.97877, 34.054215)","(-4.9780431, 34.0550272)",0.11,"[(-4.97877, 34.054215), (-4.9784642, 34.0546239), (-4.9783301, 34.0547961), (-4.9782041, 34.0549117), (-4.9780431, 34.0550272)]"
Boulevard Allal El Fassi,"(-4.9780431, 34.0550272)","(-4.9755661, 34.0542494)",0.29,"[(-4.9780431, 34.0550272), (-4.9778299, 34.0551306), (-4.9775805, 34.0552172), (-4.977335, 34.0552606), (-4.9770896, 34.0552728), (-4.9768925, 34.0552606), (-4.9766457, 34.0552161), (-4.9763869, 34.0551128), (-4.9761857, 34.0550139), (-4.9760234, 34.0548883), (-4.9758518, 34.0547083), (-4.9756077, 34.0543206), (-4.9755661, 34.0542494)]"
Boulevard Allal El Fassi,"(-4.9633425, 34.0601904)","(-4.963013, 34.0605752)",0.05,"[(-4.9633425, 34.0601904), (-4.9632454, 34.0603048), (-4.9631958, 34.0603559), (-4.9631569, 34.0603948), (-4.9630913, 34.0604732), (-4.963013, 34.0605752)]"
